var                                                                    | dimension |             min |             max |         average
tcon0041                                                               | (127, 32) |    -3.01582e-08 |     4.08977e-08 |     7.22358e-10
tcon0042                                                               | (127, 32) |    -3.20127e-08 |     4.20407e-08 |     6.13136e-10
tcon0043                                                               | (127, 32) |    -3.40516e-08 |     4.38026e-08 |     4.91727e-10
tcon0044                                                               | (127, 32) |    -3.60456e-08 |     4.59507e-08 |      3.6139e-10
tcon0045                                                               | (127, 32) |    -3.84455e-08 |     4.82209e-08 |     2.26934e-10
tcon0046                                                               | (127, 32) |    -4.05978e-08 |     5.01717e-08 |     9.57698e-11
tcon0047                                                               | (127, 32) |    -4.19762e-08 |     5.14558e-08 |    -2.38783e-11
tcon0048                                                               | (127, 32) |    -4.26291e-08 |     5.16305e-08 |    -1.26559e-10
tcon0049                                                               | (127, 32) |    -4.25639e-08 |      5.0812e-08 |    -2.11089e-10
tcon0050                                                               | (127, 32) |     -4.1732e-08 |     4.89504e-08 |    -2.76116e-10
tcon0051                                                               | (127, 32) |    -4.04822e-08 |     4.61771e-08 |    -3.14945e-10
tcon0052                                                               | (127, 32) |    -3.93713e-08 |     4.25971e-08 |    -3.20833e-10
tcon0053                                                               | (127, 32) |    -3.91263e-08 |     3.89452e-08 |    -2.92753e-10
tcon0054                                                               | (127, 32) |    -4.04783e-08 |     3.75137e-08 |    -2.36051e-10
tcon0055                                                               | (127, 32) |    -4.32819e-08 |     3.81276e-08 |    -1.57122e-10
tcon0056                                                               | (127, 32) |    -4.68265e-08 |     4.03139e-08 |    -6.14698e-11
tcon0057                                                               | (127, 32) |    -5.02053e-08 |     4.32358e-08 |     4.16558e-11
tcon0058                                                               | (127, 32) |     -5.2714e-08 |     4.59664e-08 |     1.40101e-10
tcon0059                                                               | (127, 32) |    -5.38029e-08 |     4.77535e-08 |     2.19437e-10
tcon0060                                                               | (127, 32) |    -5.33941e-08 |      4.8174e-08 |     2.65011e-10
tcon0061                                                               | (127, 32) |    -5.18148e-08 |     4.73212e-08 |     2.66953e-10
tcon0062                                                               | (127, 32) |    -5.32162e-08 |     4.71469e-08 |     2.23417e-10
tcon0063                                                               | (127, 32) |    -5.50978e-08 |     4.72293e-08 |     1.40841e-10
tcon0064                                                               | (127, 32) |    -5.46747e-08 |     4.66082e-08 |     2.86767e-11
tcon0065                                                               | (127, 32) |    -5.14131e-08 |     4.71771e-08 |    -9.92781e-11
tcon0066                                                               | (127, 32) |    -4.95935e-08 |     4.83604e-08 |    -2.15912e-10
tcon0067                                                               | (127, 32) |    -4.79022e-08 |     4.81249e-08 |    -2.93916e-10
tcon0068                                                               | (127, 32) |    -4.58234e-08 |      4.6664e-08 |    -3.13069e-10
tcon0069                                                               | (127, 32) |    -4.37753e-08 |     4.47376e-08 |    -2.55249e-10
tcon0070                                                               | (127, 32) |    -4.04801e-08 |     4.40055e-08 |    -1.28279e-10
tcon0071                                                               | (127, 32) |    -3.60061e-08 |     4.30551e-08 |     2.27782e-11
tcon0072                                                               | (127, 32) |     -2.9378e-08 |     3.98506e-08 |     1.47952e-10
tcon0073                                                               | (127, 32) |    -2.60031e-08 |     3.32019e-08 |     2.18116e-10
tcon0074                                                               | (127, 32) |    -2.29996e-08 |     2.68894e-08 |     2.08002e-10
tcon0075                                                               | (127, 32) |    -2.01145e-08 |     2.16201e-08 |     1.01548e-10
tcon0076                                                               | (127, 32) |    -1.76665e-08 |     1.79896e-08 |    -6.33437e-11
tcon0077                                                               | (127, 32) |    -1.62189e-08 |     1.60042e-08 |    -2.04224e-10
tcon0078                                                               | (127, 32) |    -1.55667e-08 |     1.43466e-08 |    -2.54883e-10
tcon0079                                                               | (127, 32) |    -1.56819e-08 |     1.40488e-08 |    -1.98006e-10
tcon0080                                                               | (127, 32) |    -1.64845e-08 |     1.36684e-08 |    -5.55566e-11
tcon0081                                                               | (127, 32) |    -1.69951e-08 |      1.4454e-08 |     1.26114e-10
tcon0082                                                               | (127, 32) |    -1.71507e-08 |      1.5568e-08 |     2.75039e-10
tcon0083                                                               | (127, 32) |    -2.16172e-08 |     1.96025e-08 |     3.20949e-10
tcon0084                                                               | (127, 32) |    -2.72294e-08 |     2.12261e-08 |     2.44079e-10
tcon0085                                                               | (127, 32) |     -3.4446e-08 |     2.41012e-08 |      8.0852e-11
tcon0086                                                               | (127, 32) |    -3.91403e-08 |      2.9558e-08 |    -1.05265e-10
tcon0087                                                               | (127, 32) |    -4.31304e-08 |     3.66526e-08 |    -2.55091e-10
tcon0088                                                               | (127, 32) |    -4.38134e-08 |     3.70949e-08 |    -3.26509e-10
tcon0089                                                               | (127, 32) |    -4.26259e-08 |     3.52949e-08 |    -2.96668e-10
tcon0090                                                               | (127, 32) |    -3.93815e-08 |     3.29323e-08 |    -1.76463e-10
tcon0091                                                               | (127, 32) |    -3.40268e-08 |     2.99254e-08 |    -1.08215e-11
tcon0092                                                               | (127, 32) |    -3.16704e-08 |     2.72272e-08 |     1.47216e-10
tcon0093                                                               | (127, 32) |    -2.99956e-08 |     2.44605e-08 |     2.40594e-10
tcon0094                                                               | (127, 32) |    -2.62404e-08 |     2.73027e-08 |     2.23641e-10
tcon0095                                                               | (127, 32) |    -2.84259e-08 |      2.8236e-08 |     1.01857e-10
tcon0096                                                               | (127, 32) |    -2.91618e-08 |     2.63379e-08 |    -7.05796e-11
tcon0097                                                               | (127, 32) |    -2.82709e-08 |     2.82927e-08 |    -2.09402e-10
tcon0098                                                               | (127, 32) |    -3.23324e-08 |     3.14017e-08 |    -2.18111e-10
tcon0099                                                               | (127, 32) |    -3.13204e-08 |     3.13409e-08 |    -5.59799e-11
tcon0100                                                               | (127, 32) |    -3.25803e-08 |     3.13413e-08 |     1.88812e-10
tcon0101                                                               | (127, 32) |    -3.25867e-08 |     3.36573e-08 |     3.59127e-10
