var                                                                    | dimension |             min |             max |         average
tcon0041                                                               | (72, 46)  |    -3.89486e-08 |     3.94583e-08 |     1.65952e-09
tcon0042                                                               | (72, 46)  |    -4.41295e-08 |     4.38274e-08 |     1.58603e-09
tcon0043                                                               | (72, 46)  |    -5.35477e-08 |     4.77543e-08 |     1.04902e-09
tcon0044                                                               | (72, 46)  |    -1.37237e-07 |     8.62602e-08 |    -6.82564e-10
tcon0045                                                               | (72, 46)  |    -2.12131e-07 |     1.46433e-07 |    -2.32758e-09
tcon0046                                                               | (72, 46)  |     -1.7413e-07 |     1.24701e-07 |    -2.48968e-09
tcon0047                                                               | (72, 46)  |    -9.46289e-08 |     8.73934e-08 |    -1.12381e-09
tcon0048                                                               | (72, 46)  |    -1.06713e-07 |     6.72414e-08 |     6.09572e-10
tcon0049                                                               | (72, 46)  |    -8.77357e-08 |     8.37253e-08 |     1.53842e-09
tcon0050                                                               | (72, 46)  |    -6.84707e-08 |     8.68791e-08 |     1.45285e-09
tcon0051                                                               | (72, 46)  |    -9.84434e-08 |     1.57399e-07 |      6.4641e-10
tcon0052                                                               | (72, 46)  |    -1.24988e-07 |       1.814e-07 |    -3.23516e-10
tcon0053                                                               | (72, 46)  |    -1.09126e-07 |     1.06039e-07 |    -5.79007e-10
tcon0054                                                               | (72, 46)  |    -1.59825e-07 |     1.14416e-07 |    -6.03418e-11
tcon0055                                                               | (72, 46)  |    -2.05492e-07 |     1.86649e-07 |     7.94432e-10
tcon0056                                                               | (72, 46)  |    -1.76678e-07 |     1.81898e-07 |     1.80866e-10
tcon0057                                                               | (72, 46)  |    -1.88226e-07 |     2.15586e-07 |      -8.057e-10
tcon0058                                                               | (72, 46)  |    -1.71044e-07 |     1.96646e-07 |    -1.24327e-10
tcon0059                                                               | (72, 46)  |    -1.67373e-07 |     2.13027e-07 |      1.0581e-09
tcon0060                                                               | (72, 46)  |    -2.06294e-07 |      2.1241e-07 |    -1.83348e-10
tcon0061                                                               | (72, 46)  |    -1.82106e-07 |     1.87792e-07 |    -4.92746e-10
tcon0062                                                               | (72, 46)  |    -1.94423e-07 |     1.94059e-07 |     1.08631e-09
tcon0063                                                               | (72, 46)  |     -1.6138e-07 |     2.00799e-07 |    -7.19647e-10
tcon0064                                                               | (72, 46)  |    -1.59228e-07 |     1.48339e-07 |    -6.78149e-10
tcon0065                                                               | (72, 46)  |    -1.93388e-07 |     1.02678e-07 |     1.22528e-09
tcon0066                                                               | (72, 46)  |    -1.31123e-07 |      1.4067e-07 |    -2.41547e-10
tcon0067                                                               | (72, 46)  |    -8.92426e-08 |      1.5358e-07 |    -7.37004e-10
tcon0068                                                               | (72, 46)  |    -1.10699e-07 |     1.00932e-07 |     9.22397e-10
tcon0069                                                               | (72, 46)  |    -1.28915e-07 |     1.73455e-07 |     4.79823e-10
tcon0070                                                               | (72, 46)  |    -2.36611e-07 |     2.35553e-07 |    -5.05164e-10
tcon0071                                                               | (72, 46)  |    -3.20103e-07 |     2.42261e-07 |    -1.09373e-09
tcon0072                                                               | (72, 46)  |    -3.64126e-07 |     2.95643e-07 |    -1.82863e-10
sst                                                                    | (46, 72)  |               1 |               1 |               1
hsst                                                                   | (46, 72)  |         391.606 |             800 |         649.024
