var                                                                    | dimension    |             min |             max |         average
skin_temperature_at_surface_where_land                                 | (1, 24, 48)  |         224.065 |          296.67 |         274.907
skin_temperature_at_surface_where_sea                                  | (1, 24, 48)  |         224.065 |          296.67 |         274.907
skin_temperature_at_surface_where_snow                                 | (1, 24, 48)  |         224.065 |          296.67 |         274.907
effective_radius_of_cloud_ice_particle                                 | (70, 24, 48) |           2e-05 |     9.99992e-05 |     3.51302e-05
effective_radius_of_cloud_liquid_water_particle                        | (70, 24, 48) |           4e-06 |         1.5e-05 |     4.88746e-06
effective_radius_of_graupel_particle                                   | (70, 24, 48) |         0.00075 |         0.00075 |         0.00075
effective_radius_of_hail_particle                                      | (70, 24, 48) |           0.005 |           0.005 |           0.005
effective_radius_of_rain_particle                                      | (70, 24, 48) |         0.00025 |         0.00025 |         0.00025
effective_radius_of_snow_particle                                      | (70, 24, 48) |          0.0001 |     0.000999991 |     0.000270215
cloud_liquid_ice                                                       | (70, 24, 48) |               0 |      0.00168823 |     2.01592e-05
cloud_liquid_water                                                     | (70, 24, 48) |               0 |     0.000127298 |     1.50602e-06
rain_water                                                             | (70, 24, 48) |               0 |     8.11554e-05 |     9.69818e-08
snow_water                                                             | (70, 24, 48) |               0 |      0.00101088 |     4.59442e-06
graupel                                                                | (70, 24, 48) |               0 |     0.000955494 |     1.17117e-06
hail                                                                   | (70, 24, 48) |               0 |       0.0280834 |     1.64309e-06
mass_content_of_cloud_ice_in_atmosphere_layer                          | (70, 24, 48) |               0 |        0.160664 |      0.00342327
mass_content_of_cloud_liquid_water_in_atmosphere_layer                 | (70, 24, 48) |               0 |       0.0242334 |     0.000207602
mass_content_of_rain_in_atmosphere_layer                               | (70, 24, 48) |               0 |       0.0123779 |     1.16468e-05
mass_content_of_snow_in_atmosphere_layer                               | (70, 24, 48) |               0 |       0.0622799 |     0.000608492
mass_content_of_graupel_in_atmosphere_layer                            | (70, 24, 48) |               0 |       0.0737924 |     0.000147953
mass_content_of_hail_in_atmosphere_layer                               | (70, 24, 48) |               0 |         6.35226 |     0.000365538
geopotential_levels                                                    | (71, 24, 48) |         98.1329 |          823621 |          157865
geopotential_height_levels                                             | (71, 24, 48) |         10.0068 |           83986 |         16097.7
tropopause_pressure                                                    | (1, 24, 48)  |         16666.9 |         45607.2 |         25975.4
water_vapor_mixing_ratio_wrt_moist_air_assuming_saturation             | (70, 24, 48) |               0 |               1 |        0.050086
ratio_of_wind_at_surface_adjacent_layer_to_wind_at_10m                 | (1, 24, 48)  |               1 |               1 |               1
